customer_id,name,gender,city,state,signup_date
CUST_0,Brooke Wise,Female,Jermainechester,New Mexico,2023-03-28
CUST_1,Joseph Mercer,Female,Garrisonmouth,Illinois,2026-02-01
CUST_2,Jessica Wilson,Female,Kristenborough,Iowa,2025-10-23
CUST_3,Derek Scott,Female,Peterland,New Mexico,2023-05-16
CUST_4,Sara Smith,Female,South Victoriafort,Tennessee,2024-09-26
CUST_5,Brian Williams,Female,Karenburgh,Massachusetts,2024-02-11
CUST_6,Christine Garrett,Female,Porterhaven,Oklahoma,2024-09-28
CUST_7,Marie Wright,Female,Hessfort,Georgia,2023-10-10
CUST_8,Karen Miller,Female,New Jeffrey,Kentucky,2024-12-25
CUST_9,Mary Martinez,Male,Jonville,Nevada,2026-01-20
CUST_10,Casey Wolfe,Male,Lindaside,Maryland,2024-11-03
CUST_11,Jeffrey Williams,Female,South Johnshire,Alabama,2024-01-31
CUST_12,Frederick Rogers,Male,Valentinehaven,Utah,2024-12-12
CUST_13,Kristi Gonzalez,Male,West Anthony,Mississippi,2023-12-13
CUST_14,Teresa Gonzalez,Female,New Peterland,Mississippi,2024-02-05
CUST_15,John Blake,Female,Toddburgh,Alaska,2024-07-01
CUST_16,Jon Hansen,Male,North Craigport,Wisconsin,2024-11-20
CUST_17,David Silva,Female,Christopherfort,Illinois,2025-11-05
CUST_18,Karen Shepherd,Female,Port Petermouth,Utah,2023-10-12
CUST_19,Andrew Delgado,Male,North Justinberg,Georgia,2023-07-30
CUST_20,Brian Cox,Male,East Nicholas,Missouri,2024-09-28
CUST_21,Deborah Green,Female,Yanghaven,Iowa,2023-05-09
CUST_22,Steven Fisher,Female,West Rachelville,Arkansas,2023-03-16
CUST_23,Derek Burch,Male,South Anthonyfort,Wyoming,2024-06-10
CUST_24,Derek Ryan,Female,North Joshuafort,Ohio,2024-04-17
CUST_25,Stephanie Chambers,Male,Lake Amber,Vermont,2024-03-28
CUST_26,Joseph Reyes,Female,Hinesmouth,Minnesota,2023-07-17
CUST_27,Crystal Schmidt,Female,South Lisa,South Dakota,2025-12-11
CUST_28,Elizabeth Dixon,Male,Port Louis,Arizona,2025-03-19
CUST_29,Kevin Pittman,Male,Alexandraview,Montana,2024-08-02
CUST_30,Rebecca Taylor,Male,Hendersonport,Minnesota,2024-02-22
CUST_31,Daniel Reynolds,Male,North Ryan,Maine,2025-11-26
CUST_32,Eric Johnson,Female,Reneemouth,New Hampshire,2025-11-16
CUST_33,Mr. Jeremy Boyd MD,Female,South Kathleen,Wyoming,2023-08-04
CUST_34,Kimberly Harrison,Female,Cruzstad,Georgia,2023-03-15
CUST_35,Margaret Wells,Male,Phillipsport,Mississippi,2026-02-01
CUST_36,Susan Hernandez,Female,Jonathanside,New Hampshire,2026-02-05
CUST_37,Brian Edwards,Male,East Jeremyshire,Nebraska,2024-12-24
CUST_38,Crystal Shelton,Female,Phamborough,Louisiana,2025-05-14
CUST_39,Samantha Martinez,Male,Mckinneyport,Michigan,2023-12-11
CUST_40,Isaac Jenkins,Female,New Ericachester,Wisconsin,2024-09-23
CUST_41,Mark Graham,Female,Angelaland,Rhode Island,2025-03-13
CUST_42,Bradley Gonzalez,Female,West Melissatown,Michigan,2023-08-01
CUST_43,Andrew Gibson,Female,West Margaret,Mississippi,2023-10-08
CUST_44,Emily Alvarez,Female,Lake Adrienne,Alaska,2023-05-25
CUST_45,Katelyn Ross,Female,Port Aimeechester,Minnesota,2024-04-26
CUST_46,Chelsea Dennis,Male,New Phillip,Massachusetts,2024-07-05
CUST_47,Dominique Pena DVM,Male,Griffinborough,Wisconsin,2026-02-24
CUST_48,Lori Gibbs,Female,Hoffmanburgh,Michigan,2025-04-24
CUST_49,Jack Rodriguez,Male,Nelsonton,Alaska,2025-11-28
CUST_50,Donald Thompson,Female,Lake Michael,Arizona,2025-02-11
CUST_51,Julie Valdez,Female,South Lisa,California,2024-03-08
CUST_52,Larry Miller,Male,Reyeston,Connecticut,2024-05-18
CUST_53,Barbara Walsh,Male,Youngfurt,Iowa,2023-12-16
CUST_54,Frank Higgins,Male,Adamshaven,New Hampshire,2023-07-17
CUST_55,Zachary Rogers,Male,Gregoryfurt,Minnesota,2023-10-10
CUST_56,Alexander Blair,Male,New Brandi,Minnesota,2023-05-16
CUST_57,Joseph Hinton,Male,Hollowayfurt,Idaho,2026-03-10
CUST_58,Ann Cook,Female,Carrollbury,Alaska,2026-02-23
CUST_59,Nina Powers,Male,South Michaelafort,Florida,2025-09-01
CUST_60,Natasha Blanchard,Male,Wrightborough,Montana,2024-11-25
CUST_61,Corey Shaw,Male,South Dawnport,Nevada,2023-04-13
CUST_62,Steven Moore,Female,Port Jeromemouth,Tennessee,2023-04-25
CUST_63,Steven Mathis,Female,Nicholsland,Virginia,2023-07-19
CUST_64,Maurice Guzman,Female,Pearsonfurt,Pennsylvania,2025-07-06
CUST_65,Michael Hicks,Female,Port Sarahville,Oregon,2025-08-10
CUST_66,Candice Turner,Female,Wangbury,Kentucky,2024-10-28
CUST_67,Aaron Schmidt,Male,East Desiree,South Dakota,2025-04-25
